name,year,certifi,time,Genre,Vote,Metascore,Rating
Who Killed Sara?,(2021– ),TV-MA,No data,"Crime, Drama, Mystery","10,039",No data,6.4
Paper Lives,(2021),TV-MA,96 min,Drama,"9,957",No data,6.7
The United States vs. Billie Holiday,(2021),R,126 min,"Biography, Drama, Music","9,799",52        ,6.3
Tribes of Europa,(2021– ),TV-MA,No data,"Action, Adventure, Drama","9,758",No data,6.8
Halston,(2021),TV-MA,240 min,"Biography, Drama","9,586",No data,7.5
Jagame Thandhiram,(2021),TV-MA,158 min,"Action, Crime, Drama","9,544",No data,6.0
Voyagers,(2021),PG-13,108 min,"Adventure, Sci-Fi, Thriller","9,471",44        ,5.4
Stuck Apart,(2021),TV-MA,96 min,"Comedy, Drama","9,395",No data,6.1
Harga,(2021– ),No data,No data,Drama,"9,310",No data,9.7
The Vault,(2021),R,118 min,"Action, Adventure, Thriller","9,276",50        ,6.4
Iste Bu Benim Masalim,(2021),No data,40 min,"Musical, Romance","9,232",No data,1.4
Barb and Star Go to Vista Del Mar,(2021),PG-13,107 min,Comedy,"8,706",64        ,6.4
Time,(2021– ),No data,59 min,"Crime, Drama","8,569",No data,8.4
Locked Down,(I) (2021),R,118 min,"Comedy, Crime, Romance","8,542",42        ,5.2
No Sudden Move,(2021),R,115 min,"Crime, Drama, Mystery","8,183",77        ,6.6
 The Walking Dead,(2010–2022),TV-MA,50 min,"Drama, Horror, Thriller","8,126",No data,9.3
Methagu,(2021),No data,100 min,"Biography, History","8,002",No data,9.8
Finding 'Ohana,(2021),PG,123 min,"Action, Adventure, Comedy","7,987",69        ,6.1
Sherni,(2021),No data,131 min,Drama,"7,614",No data,6.9
The Married Woman,(2021– ),No data,30 min,"Drama, Romance","7,568",No data,9.3
Ferry,(2021),TV-MA,106 min,"Action, Crime, Drama","7,566",No data,7.0
The Girl on the Train,(2021),TV-MA,120 min,"Crime, Drama, Mystery","7,396",No data,4.4
" Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy","7,310",No data,8.1
Pagglait,(2021),TV-14,114 min,"Comedy, Drama","7,305",No data,6.9
 Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure","7,287",No data,9.7
The Equalizer,(2021– ),TV-14,No data,"Action, Crime, Drama","7,283",No data,4.8
Vincenzo,(2021– ),Not Rated,80 min,"Comedy, Crime, Romance","7,049",No data,8.6
 Aspirants,(2021– ),No data,46 min,Drama,"6,955",No data,9.6
Sandeep Aur Pinky Faraar,(2021),No data,125 min,"Comedy, Crime, Drama","6,947",No data,6.3
Cosmic Sin,(2021),R,88 min,"Action, Adventure, Sci-Fi","6,944",9        ,2.5
Kaagaz,(2021),No data,109 min,"Biography, Comedy, Drama","6,922",No data,7.5
 Invincible,(2021– ),TV-MA,48 min,"Animation, Action, Adventure","6,863",No data,9.6
" Love, Death & Robots",(2019– ),TV-MA,12 min,"Animation, Short, Comedy","6,795",No data,6.5
Sunflower,(2021– ),No data,36 min,"Comedy, Crime","6,774",No data,7.6
Sentinelle,(2021),TV-MA,80 min,"Action, Crime, Drama","6,683",No data,4.7
Clarice,(2021– ),TV-14,60 min,"Crime, Drama, Mystery","6,636",No data,6.5
Debris,(2021),TV-PG,No data,"Drama, Mystery, Sci-Fi","6,620",No data,6.5
Roohi,(2021),No data,134 min,"Comedy, Horror","6,554",No data,4.3
" Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy","6,547",No data,7.9
Joji,(2021),No data,113 min,"Crime, Drama","6,545",No data,7.9
Operation Varsity Blues,(2021),R,99 min,"Documentary, Crime, Drama","6,542",70        ,7.0
" Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy","6,449",No data,6.1
Music,(2021),PG-13,107 min,"Drama, Musical","6,417",23        ,3.1
 Rick and Morty,(2013– ),TV-14,No data,"Animation, Adventure, Comedy","6,360",No data,9.1
Tell Me Your Secrets,(I) (2021– ),TV-14,No data,"Crime, Drama, Mystery","6,347",No data,7.4
Fatma,(2021– ),TV-MA,40 min,"Crime, Drama, Thriller","6,345",No data,7.5
Bang Baang,(2021– ),No data,18 min,"Action, Thriller","6,328",No data,6.8
The Mosquito Coast,(2021– ),TV-MA,No data,"Adventure, Drama, Thriller","6,325",No data,7.0
SAS: Red Notice,(2021),R,124 min,"Action, Thriller","6,320",No data,4.9
 Invincible,(2021– ),TV-MA,47 min,"Animation, Action, Adventure","6,279",No data,9.0
Sky Rojo,(2021– ),TV-MA,31 min,"Action, Adventure, Crime","6,273",No data,6.5
Katla,(2021– ),TV-MA,No data,"Drama, Mystery, Sci-Fi","6,268",No data,7.1
Snabba Cash,(2021– ),TV-MA,52 min,"Action, Crime, Drama","6,249",No data,7.6
Walker,(2021– ),TV-14,No data,"Action, Crime, Drama","6,197",No data,5.9
Sex/Life,(2021– ),TV-MA,No data,"Comedy, Drama, Romance","6,134",No data,5.5
 The Walking Dead,(2010–2022),TV-14,43 min,"Drama, Horror, Thriller","6,128",No data,4.0
 The New York Times Presents,(2020– ),TV-MA,74 min,Documentary,"6,021",No data,6.9
 Aspirants,(2021– ),No data,38 min,Drama,"6,000",No data,9.6
Hacks,(2021– ),TV-MA,30 min,"Comedy, Drama","5,969",No data,8.3
Jathi Ratnalu,(2021),No data,145 min,Comedy,"5,956",No data,7.6
Good on Paper,(2021),R,92 min,"Comedy, Romance","5,955",54        ,5.6
Crisis,(2021),R,118 min,"Drama, Thriller","5,947",41        ,6.1
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","5,921",No data,9.3
Allen v. Farrow,(2021),TV-MA,256 min,"Documentary, Biography, Crime","5,914",No data,6.4
Dracula,(2021– ),No data,No data,"Comedy, Drama","5,903",No data,8.8
Billie Eilish: The World's a Little Blurry,(2021),R,140 min,"Documentary, Biography, Music","5,902",70        ,7.8
" Love, Death & Robots",(2019– ),TV-MA,7 min,"Animation, Short, Comedy","5,863",No data,7.4
The Pembrokeshire Murders,(2021),TV-14,144 min,"Crime, Drama","5,792",No data,7.1
Pretend It's a City,(2021),TV-14,203 min,"Documentary, Biography, Comedy","5,736",No data,8.1
" Love, Death & Robots",(2019– ),TV-MA,11 min,"Animation, Short, Comedy","5,735",No data,7.0
 Aspirants,(2021– ),No data,49 min,Drama,"5,733",No data,9.7
The Sons of Sam: A Descent into Darkness,(2021),TV-MA,239 min,"Documentary, Crime, History","5,679",No data,7.0
 The Walking Dead,(2010–2022),TV-MA,40 min,"Drama, Horror, Thriller","5,677",No data,5.1
" Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy","5,567",No data,7.0
Ray,(2021– ),TV-14,65 min,"Crime, Drama, Thriller","5,564",No data,7.4
 Aspirants,(2021– ),No data,45 min,Drama,"5,474",No data,9.7
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","5,425",No data,9.6
November Story,(2021– ),No data,40 min,"Crime, Thriller","5,408",No data,8.0
Krack,(2021),Not Rated,154 min,"Action, Crime, Thriller","5,392",No data,7.3
" Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy","5,377",No data,6.6
Young Rock,(2021– ),TV-PG,No data,Comedy,"5,362",No data,7.1
 Invincible,(2021– ),TV-MA,46 min,"Animation, Action, Adventure","5,341",No data,9.3
Made for Love,(2021– ),TV-MA,30 min,"Comedy, Drama, Sci-Fi","5,325",No data,6.9
The Last Hour,(2021– ),No data,36 min,"Crime, Drama, Mystery","5,321",No data,7.5
Maharani,(2021– ),No data,43 min,Drama,"5,261",No data,7.5
Young Royals,(2021– ),TV-MA,50 min,"Drama, Romance","5,137",No data,8.5
The Priest,(I) (2021),No data,140 min,"Horror, Mystery, Thriller","5,107",No data,6.6
Cruel Summer,(2021– ),TV-14,45 min,"Drama, Mystery, Thriller","5,014",No data,7.5
 Invincible,(2021– ),TV-MA,44 min,"Animation, Action, Adventure","4,949",No data,8.6
 The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller","4,875",No data,6.2
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,870",No data,9.5
Flora & Ulysses,(2021),PG,95 min,"Adventure, Comedy, Family","4,843",62        ,6.3
 Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure","4,833",No data,9.7
 The Walking Dead,(2010–2022),TV-MA,42 min,"Drama, Horror, Thriller","4,814",No data,7.3
Panic,(2021– ),TV-14,No data,"Adventure, Crime, Drama","4,792",No data,6.5
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,754",No data,9.6
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,740",No data,9.8
Murder Among the Mormons,(2021),TV-14,160 min,"Documentary, Crime, History","4,714",No data,7.0
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,706",No data,9.8
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,690",No data,9.6
 Mare of Easttown,(2021),TV-MA,57 min,"Crime, Drama, Mystery","4,673",No data,9.4
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,652",No data,9.5
 Invincible,(2021– ),TV-MA,42 min,"Animation, Action, Adventure","4,650",No data,8.3
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,650",No data,9.7
 The Walking Dead,(2010–2022),TV-MA,48 min,"Drama, Horror, Thriller","4,649",No data,7.5
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,639",No data,9.6
The Legend of Hanuman,(2021– ),No data,25 min,Animation,"4,639",No data,9.4
 Broken But Beautiful,(2018– ),No data,No data,"Drama, Romance","4,638",No data,9.6
 Rick and Morty,(2013– ),TV-14,No data,"Animation, Adventure, Comedy","4,598",No data,9.0
 Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure","4,565",No data,7.7
Mandela,(2021),No data,140 min,"Comedy, Drama","4,565",No data,8.5
50M2,(2021– ),TV-MA,45 min,"Comedy, Drama, Thriller","4,542",No data,7.0
Invisible City,(2021– ),TV-G,60 min,"Crime, Drama, Fantasy","4,533",No data,7.4
Crazy About Her,(2021),TV-MA,102 min,"Comedy, Romance","4,513",No data,6.6
 Cobra Kai,(2018– ),TV-14,41 min,"Action, Comedy, Drama","4,476",No data,9.5
Nayattu,(2021),No data,124 min,Thriller,"4,439",No data,8.2
 Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure","4,435",No data,7.9
Virkar,(2021– ),No data,28 min,"Crime, Thriller","4,409",No data,9.0
Land,(2021),PG-13,89 min,Drama,"4,406",61        ,6.6
 Star Wars: The Bad Batch,(2021– ),TV-PG,70 min,"Animation, Action, Adventure","4,403",No data,9.0
Ajeeb Daastaans,(2021),TV-MA,142 min,"Drama, Romance","4,396",No data,6.7
Blue Miracle,(2021),TV-PG,95 min,"Adventure, Biography, Drama","4,350",48        ,6.7
 One Piece,(1999– ),TV-14,24 min,"Animation, Action, Adventure","4,264",No data,9.3
Biggie: I Got a Story to Tell,(2021),R,97 min,"Documentary, Biography, Music","4,237",62        ,6.9
Girl in the Basement,(2021),TV-14,88 min,"Crime, Thriller","4,181",No data,6.4
Call Me Kat,(2021– ),TV-PG,21 min,Comedy,"4,179",No data,5.0
 Aspirants,(2021– ),No data,38 min,Drama,"4,131",No data,9.4
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","4,125",No data,9.4
Runaway Lugaai,(2021– ),No data,25 min,"Comedy, Drama","4,113",No data,8.4
Justice Society: World War II,(2021),PG-13,84 min,"Animation, Action, Adventure","4,090",No data,6.4
Fear Street Part Two: 1978,(2021),R,109 min,"Drama, Horror, Mystery","4,081",61        ,6.8
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","4,061",No data,9.1
Have You Ever Seen Fireflies?,(2021),TV-14,113 min,"Comedy, Drama","4,056",No data,6.2
History of Swear Words,(2021– ),TV-MA,124 min,"Documentary, Comedy","4,052",No data,6.4
Us Again,(2021),G,7 min,"Animation, Short, Drama","4,032",No data,8.0
The Underground Railroad,(2021– ),TV-MA,593 min,"Drama, History, War","3,995",No data,7.3
I Am All Girls,(2021),TV-MA,107 min,"Crime, Drama, Mystery","3,944",No data,5.8
Sardar Ka Grandson,(2021),TV-14,139 min,"Comedy, Drama, Romance","3,909",No data,4.2
Major Grom: Plague Doctor,(2021),No data,136 min,"Action, Adventure","3,907",No data,6.4
Nail Polish,(2021),No data,128 min,Drama,"3,884",No data,7.4
His Story,(2021– ),No data,No data,Drama,"3,873",No data,9.7
Sexify,(2021– ),TV-MA,40 min,"Comedy, Drama","3,859",No data,6.5
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,858",No data,9.5
Top Class: The Life and Times of the Sierra Canyon Trailblazers,(2021– ),Not Rated,30 min,"Documentary, Sport","3,772",No data,9.7
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,767",No data,9.2
Grahan,(I) (2021– ),No data,No data,"Action, Drama, Thriller","3,745",No data,8.7
 Mare of Easttown,(2021),TV-MA,58 min,"Crime, Drama, Mystery","3,744",No data,8.1
The Virtuoso,(2021),R,110 min,"Action, Crime, Thriller","3,742",24        ,4.9
Chad,(2021– ),TV-MA,30 min,Comedy,"3,718",No data,2.7
Fear of Rain,(2021),PG-13,109 min,"Drama, Horror, Thriller","3,689",No data,5.9
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,669",No data,9.5
 Lucifer,(2016– ),TV-14,60 min,"Crime, Drama, Fantasy","3,661",No data,7.6
Pogaru,(2021),No data,160 min,Action,"3,626",No data,5.6
Batman: Soul of the Dragon,(2021),R,83 min,"Animation, Action, Adventure","3,614",No data,6.1
Sultan,(2021),TV-MA,145 min,"Action, Drama","3,609",No data,6.4
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,604",No data,9.3
 One Piece,(1999– ),TV-14,24 min,"Animation, Action, Adventure","3,598",No data,9.7
Yasuke,(2021– ),TV-MA,30 min,"Animation, Action, Adventure","3,593",No data,6.2
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,541",No data,9.2
Naandhi,(2021),No data,146 min,"Crime, Drama, Thriller","3,536",No data,8.4
Siyavash,(2021– ),TV-14,50 min,Drama,"3,530",No data,6.2
Silence: Can You Hear It,(2021),No data,136 min,"Crime, Thriller","3,529",No data,6.6
Tiger,(2021),TV-MA,192 min,"Documentary, Biography, Sport","3,518",No data,7.8
 The Family Man,(2019– ),TV-14,No data,"Action, Comedy, Drama","3,516",No data,9.3
The Mighty Ducks: Game Changers,(2021– ),TV-PG,No data,"Comedy, Drama, Sport","3,509",No data,7.5
Bombay Begums,(2021– ),TV-MA,50 min,Drama,"3,505",No data,4.9
Horimiya,(I) (2021– ),TV-14,24 min,"Animation, Comedy, Drama","3,457",No data,8.3
Saina,(2021),No data,135 min,"Biography, Drama, Sport","3,452",No data,4.2
 Mare of Easttown,(2021),TV-MA,58 min,"Crime, Drama, Mystery","3,449",No data,8.7
The Boss Baby: Family Business,(2021),PG,107 min,"Animation, Adventure, Comedy","3,447",40        ,6.0
Rurouni Kenshin: Final Chapter Part I - The Final,(2021),No data,138 min,"Action, Adventure, Drama","3,445",No data,7.3
Yuvarathnaa,(2021),No data,161 min,"Action, Drama","3,428",No data,6.6
A Week Away,(2021),TV-PG,94 min,"Drama, Family, Musical","3,415",32        ,5.8
Pacific Rim: The Black,(2021– ),TV-14,24 min,"Animation, Action, Adventure","3,414",No data,7.1
Maara,(2021),No data,149 min,"Adventure, Drama, Mystery","3,395",No data,7.7
Pelé,(2021),TV-14,108 min,"Documentary, Biography, Sport","3,392",61        ,7.0
Censor,(2021),No data,84 min,Horror,"3,392",67        ,5.9
Mushoku Tensei: Jobless Reincarnation,(2021– ),TV-14,24 min,"Animation, Adventure, Fantasy","3,366",No data,8.3
"Batman: The Long Halloween, Part One",(2021 Video),PG-13,85 min,"Animation, Action, Crime","3,356",No data,7.5
The Misfits,(2021),R,94 min,"Action, Adventure, Thriller","3,355",24        ,4.2
Peter Rabbit 2: The Runaway,(2021),PG,93 min,"Animation, Adventure, Comedy","3,345",43        ,6.2
 Mare of Easttown,(2021),TV-MA,64 min,"Crime, Drama, Mystery","3,343",No data,9.1
In the Earth,(2021),R,107 min,"Horror, Sci-Fi, Thriller","3,341",63        ,5.2
The Minimalists: Less Is Now,(2021),TV-14,53 min,Documentary,"3,334",No data,5.9
 Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure","3,308",No data,9.6
This Is a Robbery: The World's Greatest Art Heist,(2021),TV-MA,210 min,"Documentary, Crime, History","3,253",No data,6.4
Why Did You Kill Me?,(2021),TV-MA,83 min,"Documentary, Crime","3,234",No data,5.6
Calls,(2021– ),TV-MA,12 min,"Drama, Horror, Mystery","3,232",No data,7.8
Bloodlands,(2021),No data,222 min,"Crime, Drama, Thriller","3,224",No data,6.5
Save Ralph,(2021),No data,4 min,"Animation, Short","3,213",No data,8.6
Silk Road,(2021),R,112 min,"Crime, Drama, Thriller","3,211",41        ,5.9
Baggio: The Divine Ponytail,(2021),TV-MA,91 min,"Biography, Drama, Sport","3,209",No data,6.1
 Superman and Lois,(2021– ),TV-PG,64 min,"Action, Adventure, Drama","3,203",No data,8.7
Great White,(2021),No data,91 min,"Horror, Thriller","3,201",No data,4.1
Hello Charlie,(2021),No data,102 min,Comedy,"3,192",No data,5.6
Konusanlar,(2021– ),No data,50 min,"Comedy, Talk-Show","3,183",No data,7.0
Uppena,(2021),TV-14,147 min,"Action, Drama, Romance","3,160",No data,6.8
 Cobra Kai,(2018– ),TV-14,39 min,"Action, Comedy, Drama","3,158",No data,9.2
The Box,(V) (2021),No data,94 min,"Drama, Music, Musical","3,150",No data,8.7
Till Death,(I) (2021),R,88 min,"Horror, Thriller","3,144",66        ,5.8
 Lupin,(2021– ),TV-MA,47 min,"Action, Crime, Drama","3,143",No data,7.9
Crashh,(2021– ),No data,23 min,Romance,"3,128",No data,9.0
 Star Wars: The Bad Batch,(2021– ),TV-PG,31 min,"Animation, Action, Adventure","3,124",No data,7.5
Chakra,(2021),Not Rated,131 min,"Action, Crime, Thriller","3,112",No data,7.0
Age of Samurai: Battle for Japan,(2021– ),TV-MA,No data,"Documentary, Action, Adventure","3,101",No data,7.4
 Lucifer,(2016– ),TV-14,53 min,"Crime, Drama, Fantasy","3,090",No data,9.4
Tina,(2021),TV-MA,118 min,"Documentary, Biography, History","3,055",81        ,8.0
America: The Motion Picture,(2021),TV-MA,98 min,"Animation, Action, Adventure","2,982",38        ,5.7
Marvel Studios: Legends,(2021– ),TV-14,7 min,"Action, Fantasy, Sci-Fi","2,965",No data,6.5
 Mare of Easttown,(2021),TV-MA,60 min,"Crime, Drama, Mystery","2,959",No data,8.2
First Signal,(2021),No data,102 min,"Drama, History, Sci-Fi","2,953",No data,7.0
Bhoomi,(II) (2021),TV-PG,128 min,"Action, Drama","2,934",No data,5.0
 Mare of Easttown,(2021),TV-MA,56 min,"Crime, Drama, Mystery","2,927",No data,8.4
Generation,(2021– ),TV-MA,No data,"Comedy, Drama","2,895",No data,6.6
Xtreme,(2021),TV-MA,111 min,"Action, Crime, Drama","2,869",No data,5.8
 Mare of Easttown,(2021),TV-MA,57 min,"Crime, Drama, Mystery","2,868",No data,8.8
Q: Into the Storm,(2021),TV-MA,353 min,Documentary,"2,862",No data,7.6
Law & Order: Organized Crime,(2021– ),TV-14,No data,"Crime, Drama, Mystery","2,843",No data,7.6
Tunna blå linjen,(2021– ),Not Rated,60 min,"Crime, Drama","2,833",No data,8.2
 Black Clover,(2017–2021),TV-PG,24 min,"Animation, Action, Adventure","2,826",No data,9.7
The Devil Below,(2021),No data,88 min,"Horror, Thriller","2,819",No data,4.2
 Cobra Kai,(2018– ),TV-14,32 min,"Action, Comedy, Drama","2,805",No data,8.2
Kala,(2021),No data,130 min,Thriller,"2,784",No data,6.9
