name,year,certifi,time,Genre,Vote,Metascore,Rating
Bling Empire,(2021– ),TV-MA,38 min,Reality-TV,"2,216",No data,5.8
Tokyo Revengers,(2021– ),TV-14,24 min,"Animation, Action, Drama","2,211",No data,8.6
Sijipeuseu: The Myth,(2021– ),Not Rated,70 min,"Action, Drama, Fantasy","2,196",No data,7.1
 Shadow and Bone,(2021– ),TV-14,48 min,"Action, Adventure, Drama","2,187",No data,7.9
One,(II) (2021),No data,151 min,"Drama, Thriller","2,180",No data,6.6
Kung Fu,(2021– ),TV-14,No data,"Action, Adventure, Drama","2,174",No data,5.0
 Boruto: Naruto Next Generations,(2017– ),TV-14,24 min,"Animation, Action, Adventure","2,166",No data,9.8
 The Frog,(2020–2021),Not Rated,44 min,"Crime, Drama, Mystery","2,164",No data,8.5
 The Expanse,(2015– ),TV-14,48 min,"Drama, Mystery, Sci-Fi","2,161",No data,8.0
 Jujutsu Kaisen,(2020– ),TV-MA,24 min,"Animation, Action, Adventure","2,160",No data,9.6
 Line of Duty,(2012– ),TV-14,57 min,"Crime, Drama, Mystery","2,156",No data,5.5
 Dracula,(2021– ),No data,No data,"Comedy, Drama","2,152",No data,9.6
 Dracula,(2021– ),No data,No data,"Comedy, Drama","2,147",No data,9.6
 Dracula,(2021– ),No data,No data,"Comedy, Drama","2,145",No data,9.7
 The Handmaid's Tale,(2017– ),TV-MA,58 min,"Drama, Sci-Fi, Thriller","2,143",No data,8.9
 The Frog,(2020–2021),Not Rated,46 min,"Crime, Drama, Mystery","2,137",No data,8.5
We Children from Bahnhof Zoo,(2021),Not Rated,No data,Drama,"2,125",No data,6.3
Trese,(2021– ),TV-MA,33 min,"Animation, Action, Adventure","2,121",No data,7.1
Mohanagar,(2021– ),No data,No data,Thriller,"2,121",No data,8.8
Rashash,(2021),No data,No data,"Action, Drama, Thriller","2,119",No data,9.3
 Dracula,(2021– ),No data,No data,"Comedy, Drama","2,118",No data,9.7
 Young Rock,(2021– ),TV-PG,No data,Comedy,"2,105",No data,9.1
 Shadow and Bone,(2021– ),TV-14,45 min,"Action, Adventure, Drama","2,104",No data,8.6
Eeswaran,(2021),Not Rated,130 min,"Action, Drama","2,104",No data,4.7
 Star Wars: The Bad Batch,(2021– ),TV-PG,27 min,"Animation, Action, Adventure","2,101",No data,8.6
The Power,(II) (2021),No data,92 min,Horror,"2,097",60        ,5.6
 Shadow and Bone,(2021– ),TV-14,51 min,"Action, Adventure, Drama","2,091",No data,8.1
 Boruto: Naruto Next Generations,(2017– ),TV-14,24 min,"Animation, Action, Adventure","2,090",No data,9.6
Nezha Reborn,(2021),No data,118 min,"Animation, Action, Fantasy","2,079",No data,6.9
 Star Wars: The Bad Batch,(2021– ),TV-PG,24 min,"Animation, Action, Adventure","2,078",No data,9.0
Alma Matters - Inside the IIT Dream,(2021),No data,150 min,Documentary,"2,069",No data,8.6
 Castlevania,(2017–2021),TV-MA,31 min,"Animation, Action, Adventure","2,066",No data,9.8
Word of Honor,(2021– ),TV-14,45 min,"Action, Drama, Fantasy","2,064",No data,9.1
The Forever Purge,(2021),R,103 min,"Action, Horror, Thriller","2,047",54        ,5.9
 The Promised Neverland,(2019–2021),TV-14,23 min,"Animation, Adventure, Drama","2,042",No data,2.6
 South Park,(1997– ),TV-MA,46 min,"Animation, Comedy","2,041",No data,7.5
The Lost Pirate Kingdom,(2021– ),TV-MA,No data,"Documentary, Adventure, Drama","2,037",No data,6.6
 One Piece,(1999– ),TV-14,No data,"Animation, Action, Adventure","2,034",No data,9.5
 Star Wars: The Bad Batch,(2021– ),TV-PG,23 min,"Animation, Action, Adventure","2,031",No data,7.4
Life in Colour,(2021– ),TV-PG,59 min,Documentary,"2,026",No data,8.3
 The Frog,(2020–2021),Not Rated,50 min,"Crime, Drama, Mystery","2,010",No data,7.9
The Great Escapists,(2021– ),TV-14,No data,"Documentary, Adventure, Comedy","2,008",No data,5.7
" Re: Zero, Starting Life in Another World",(2016– ),TV-14,30 min,"Animation, Adventure, Drama","2,002",No data,9.8
Infinitum: Subject Unknown,(2021),No data,86 min,"Mystery, Sci-Fi","2,002",No data,5.5
Bir Yeralti Sitcom'u,(2021– ),No data,No data,Comedy,"2,001",No data,7.6
 Star Wars: The Bad Batch,(2021– ),TV-PG,21 min,"Animation, Action, Adventure","2,000",No data,7.2
 The Frog,(2020–2021),Not Rated,44 min,"Crime, Drama, Mystery","2,000",No data,8.3
 The Expanse,(2015– ),TV-14,52 min,"Drama, Mystery, Sci-Fi","1,996",No data,7.8
Kid 90,(2021),TV-MA,71 min,"Documentary, Biography, History","1,991",67        ,6.9
 Lucifer,(2016– ),TV-14,53 min,"Crime, Drama, Fantasy","1,988",No data,8.5
 Lucifer,(2016– ),TV-14,59 min,"Crime, Drama, Fantasy","1,981",No data,9.0
Every Breath You Take,(2021),R,105 min,"Drama, Mystery, Thriller","1,975",32        ,5.2
 Shadow and Bone,(2021– ),TV-14,54 min,"Action, Adventure, Drama","1,969",No data,8.2
Marasli,(2021– ),No data,120 min,Drama,"1,967",No data,7.9
Nizhal,(2021),Not Rated,118 min,"Drama, Mystery, Thriller","1,960",No data,6.4
 Your Honor,(2020–2021),TV-MA,59 min,"Crime, Drama, Thriller","1,957",No data,7.3
 The Handmaid's Tale,(2017– ),TV-MA,54 min,"Drama, Sci-Fi, Thriller","1,956",No data,8.1
 The Frog,(2020–2021),Not Rated,46 min,"Crime, Drama, Mystery","1,954",No data,7.7
Starstruck,(2021– ),No data,30 min,Comedy,"1,954",No data,7.7
 The Frog,(2020–2021),Not Rated,47 min,"Crime, Drama, Mystery","1,951",No data,7.8
iCarly,(2021– ),TV-14,26 min,"Comedy, Drama, Romance","1,947",No data,7.1
Payback,(2021),No data,91 min,Thriller,"1,945",No data,6.0
Jeet Ki Zid,(2021– ),No data,40 min,"Action, Drama","1,934",No data,8.5
 Fear the Walking Dead,(2015– ),TV-MA,51 min,"Drama, Horror, Sci-Fi","1,919",No data,8.0
Born a Champion,(2021),R,112 min,"Action, Drama, Sport","1,917",No data,7.0
